DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM
PK201700000026,PK,2017.00000000000,26.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,34.08919434400,73.38353011200,9999.00000000000,9999.00000000000,WGS84
PK201700000027,PK,2017.00000000000,27.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,34.01230921150,73.23956967160,9999.00000000000,9999.00000000000,WGS84
PK201700000028,PK,2017.00000000000,28.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,34.13883629500,73.22004551370,9999.00000000000,9999.00000000000,WGS84
PK201700000029,PK,2017.00000000000,29.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,U,33.96568344620,73.21774456510,9999.00000000000,9999.00000000000,WGS84
PK201700000030,PK,2017.00000000000,30.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,34.13409891200,72.94003554570,9999.00000000000,9999.00000000000,WGS84
PK201700000031,PK,2017.00000000000,31.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,33.80985572400,73.11744427250,9999.00000000000,9999.00000000000,WGS84
PK201700000032,PK,2017.00000000000,32.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,34.00051783740,72.92824419390,9999.00000000000,9999.00000000000,WGS84
PK201700000033,PK,2017.00000000000,33.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,34.54486004860,72.83954907110,9999.00000000000,9999.00000000000,WGS84
PK201700000034,PK,2017.00000000000,34.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,34.48664387920,72.08360537730,9999.00000000000,9999.00000000000,WGS84
PK201700000035,PK,2017.00000000000,35.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,34.17741843310,72.17059506620,9999.00000000000,9999.00000000000,WGS84
PK201700000036,PK,2017.00000000000,36.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,34.41879483210,72.32787904080,9999.00000000000,9999.00000000000,WGS84
PK201700000037,PK,2017.00000000000,37.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,U,34.28011823070,72.17562131810,9999.00000000000,9999.00000000000,WGS84
PK201700000038,PK,2017.00000000000,38.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,U,34.27292499600,72.17375345860,9999.00000000000,9999.00000000000,WGS84
PK201700000039,PK,2017.00000000000,39.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,34.27661229330,71.94182448910,9999.00000000000,9999.00000000000,WGS84
